unique_id,text,PRINCIPLE_x,llm_query,PRINCIPLE_y,iteration
14,We have advocated a structure for the new agreement thatis designed to attract the participation of all countries.,egalitarian,"14 We have advocated a structure for the new agreement thatis designed to attract the participation of all countries.
",egalitarian,1
15,"•  This kind of structure, based on a spectrum of mitigation commitments,self-differentiated across the broad range of evolving nationalcircumstances and capabilities, and in this way consistent with theprinciple of common but differentiated responsibilities and respectivecapabilities, is the only kind that we can see producing the ambitious,inclusive agreement we need.",utilitarian,"15 •  This kind of structure, based on a spectrum of mitigation commitments,self-differentiated across the broad range of evolving nationalcircumstances and capabilities, and in this way consistent with theprinciple of common but differentiated responsibilities and respectivecapabilities, is the only kind that we can see producing the ambitious,inclusive agreement we need.
",egalitarian,1
16,"•  By contrast, an agreement based on 1992 categories that are unchangingwill not work.",libertarian,"16 •  By contrast, an agreement based on 1992 categories that are unchangingwill not work.
",general normative statement,1
18,"If those categories are to beoperational in character , in other words, determine who has what kindof obligations and responsibilities,  they must evolve to reflect changingcircumstances.",general normative statement,"18 If those categories are to beoperational in character , in other words, determine who has what kindof obligations and responsibilities,  they must evolve to reflect changingcircumstances.
",general normative statement,1
25,"•  Let us work together, mindful of our mutual responsibilities to eachother, our own citizens, and the global community.",egalitarian,"25 •  Let us work together, mindful of our mutual responsibilities to eachother, our own citizens, and the global community.
",egalitarian,1
35,"The major polluters, especially those who are most responsible for climate change, have the moral obligation to do much more, to take the lead and to raise their ambition now.",general normative statement,"35 The major polluters, especially those who are most responsible for climate change, have the moral obligation to do much more, to take the lead and to raise their ambition now.
",prioritarian,1
38,"Pledges to the Green Climate Fund have now passed the $10 billion threshold, which could mark a significant step forward, but these pledges must be fulfilled without delay and they must be accessible to SIDS.",prioritarian,"38 Pledges to the Green Climate Fund have now passed the $10 billion threshold, which could mark a significant step forward, but these pledges must be fulfilled without delay and they must be accessible to SIDS.
",prioritarian,1
40,We call on our partners to deliver the large scale financing that it will take to support a credible mechanism.,general normative statement,"40 We call on our partners to deliver the large scale financing that it will take to support a credible mechanism.
",general normative statement,1
41,Loss and damage should also be included as an element in the new agreement.,general normative statement,"41 Loss and damage should also be included as an element in the new agreement.
",general normative statement,1
44,We also fully support inclusion of gender equality in the text of the new agreement.,egalitarian,"44 We also fully support inclusion of gender equality in the text of the new agreement.
",egalitarian,1
45,Full and equal participation of women in all climate actions and decision making processes should be a guiding principle for all.,egalitarian,"45 Full and equal participation of women in all climate actions and decision making processes should be a guiding principle for all.
",egalitarian,1
52,We must all take every opportunity to cooperate in every forum throughout 2015 and not reserve our ambitious actions and announcements for COP21 itself.,general normative statement,"52 We must all take every opportunity to cooperate in every forum throughout 2015 and not reserve our ambitious actions and announcements for COP21 itself.
",general normative statement,1
66,"Therefore, I urge all parties to ensure that the global average temperature rise is maintained below 1.5 degree Celsius compared to the pre-industrial level.",utilitarian,"66 Therefore, I urge all parties to ensure that the global average temperature rise is maintained below 1.5 degree Celsius compared to the pre-industrial level.
",utilitarian,1
67,I also urge you all to recognize the contributions that mountains offer to humanity and consider increasing supports to the most vulnerable LDCs and small mountainous developing states like Nepal.,prioritarian,"67 I also urge you all to recognize the contributions that mountains offer to humanity and consider increasing supports to the most vulnerable LDCs and small mountainous developing states like Nepal.
",prioritarian,1
72,"Hence, I strongly call upon the countries with higher emissions to take leadership in reducing their emissions to secure a safer planet.",utilitarian,"72 Hence, I strongly call upon the countries with higher emissions to take leadership in reducing their emissions to secure a safer planet.
",prioritarian,1
75,"Therefore, I call upon alldeveloped countries to ensure new, additional and predictable financial support to secure the lives and livelihoods of the most vulnerable countries including small mountainous developing states.",prioritarian,"75 Therefore, I call upon alldeveloped countries to ensure new, additional and predictable financial support to secure the lives and livelihoods of the most vulnerable countries including small mountainous developing states.
",prioritarian,1
77,"As Lord Buddha said, we are here not to blame each other for past faults but to find middle path for peace and prosperity,I urge that we all unite for a fair, ambitious and legally- binding Agreement here in Paris to secure a climate resilient and sustainable future.",utilitarian,"77 As Lord Buddha said, we are here not to blame each other for past faults but to find middle path for peace and prosperity,I urge that we all unite for a fair, ambitious and legally- binding Agreement here in Paris to secure a climate resilient and sustainable future.
",egalitarian,1
87,"As we move forward , we must employ an inclusive , long-term and collaborative process to build the resilience of our economic, social and environmental systems .",general normative statement,"87 As we move forward , we must employ an inclusive , long-term and collaborative process to build the resilience of our economic, social and environmental systems .
",egalitarian,1
88,"This, however, requires predictable , adequate and fast-tracked financing , at scale , to allow us to meaningfully and effectively face these escalating threats .",general normative statement,"88 This, however, requires predictable , adequate and fast-tracked financing , at scale , to allow us to meaningfully and effectively face these escalating threats .
",general normative statement,1
95,This requires global commitment and action.,egalitarian,"95 This requires global commitment and action.
",general normative statement,1
96,"All countries, including the Republic of China on Taiwan, must be allowed to contribute their experience and technologies to meet this ambition.",egalitarian,"96 All countries, including the Republic of China on Taiwan, must be allowed to contribute their experience and technologies to meet this ambition.
",egalitarian,1
103,"Mr. President, Predictable finance, balanced between mitigation and adaptation, capacity building and transfer of technology are crucial for the full and effective implementation of the Paris Agreement.",general normative statement,"103 Mr. President, Predictable finance, balanced between mitigation and adaptation, capacity building and transfer of technology are crucial for the full and effective implementation of the Paris Agreement.
",utilitarian,1
106,"We seek your continued engagement to further enhance the roadmap and scale up of finances so as to increase predictability, foster confidence , and ensure that the adaptation needs of SIDs are adequately addressed. ",prioritarian,"106 We seek your continued engagement to further enhance the roadmap and scale up of finances so as to increase predictability, foster confidence , and ensure that the adaptation needs of SIDs are adequately addressed. 
",prioritarian,1
107,"Furthermore, where adaptation is not an option, countries must have support for irreparable loss and damage .",prioritarian,"107 Furthermore, where adaptation is not an option, countries must have support for irreparable loss and damage .
",prioritarian,1
109,"There are three key actions that we can and must take in Marrakech: we must operat ionalize the Paris Committee on Capacity building;  we must operationalize the Capacity Building Initiative for Transparency; and we must provide guidance to the GCF to finalize the simplified approval procedures without delay so as to enhance access for th e most vulnerable with prioritization to public and grant based support, especially for adaptation.",prioritarian,"109 There are three key actions that we can and must take in Marrakech: we must operat ionalize the Paris Committee on Capacity building;  we must operationalize the Capacity Building Initiative for Transparency; and we must provide guidance to the GCF to finalize the simplified approval procedures without delay so as to enhance access for th e most vulnerable with prioritization to public and grant based support, especially for adaptation.
",prioritarian,1
115,"'The Paris Agreement is about action by all, the great and the small'  Thank you, Mr. President.",egalitarian,"115 'The Paris Agreement is about action by all, the great and the small'  Thank you, Mr. President.
",egalitarian,1
126,"  The task of political leadership by all of us is to bridge the gulf between the global challenge and national responsibility, between each countries' obligation and the responsibility of every citizen, young and old, alike.",egalitarian,"126   The task of political leadership by all of us is to bridge the gulf between the global challenge and national responsibility, between each countries' obligation and the responsibility of every citizen, young and old, alike.
",egalitarian,1
131," I firmly believe that COP23 is not just about the technical rule book, but as political leaders in our home countries, we must provide practical, implementable sol utions to the real challenges of both mitigation and adaptation, while living up to the responsibility of Sustainable Development Goals.",sufficientarian,"131  I firmly believe that COP23 is not just about the technical rule book, but as political leaders in our home countries, we must provide practical, implementable sol utions to the real challenges of both mitigation and adaptation, while living up to the responsibility of Sustainable Development Goals.
",utilitarian,1
151,"The Paris Agreement is about action by all, the great and the small.",egalitarian,"151 The Paris Agreement is about action by all, the great and the small.
",egalitarian,1
