unique_id,text,relevance_0_x,relevance_1_x,relevance_2_x,llm_query,relevance_0_y,relevance_1_y,relevance_2_y,iteration
1," On beha lf of the government of Japan , I would like to express my sinc ere appr eciation to His Excellency , Minister Marcin Korolec and his government for hosting the COP 19 presidency .",1,0,0,"1  On beha lf of the government of Japan , I would like to express my sinc ere appr eciation to His Excellency , Minister Marcin Korolec and his government for hosting the COP 19 presidency .
", 0 , 0 , 0,1
1," On beha lf of the government of Japan , I would like to express my sinc ere appr eciation to His Excellency , Minister Marcin Korolec and his government for hosting the COP 19 presidency .",1,0,0,"1  On beha lf of the government of Japan , I would like to express my sinc ere appr eciation to His Excellency , Minister Marcin Korolec and his government for hosting the COP 19 presidency .
", 0 , 0 , 0,2
1," On beha lf of the government of Japan , I would like to express my sinc ere appr eciation to His Excellency , Minister Marcin Korolec and his government for hosting the COP 19 presidency .",1,0,0,"1  On beha lf of the government of Japan , I would like to express my sinc ere appr eciation to His Excellency , Minister Marcin Korolec and his government for hosting the COP 19 presidency .
", 0 , 0 , 0,3
2, I would also like to expr ess my d eepest condolence to the people of the Philippines and other countries who have been suffering from the r ecent typhoon.,1,0,0,"2  I would also like to expr ess my d eepest condolence to the people of the Philippines and other countries who have been suffering from the r ecent typhoon.
", 0 , 0 , 0,1
2, I would also like to expr ess my d eepest condolence to the people of the Philippines and other countries who have been suffering from the r ecent typhoon.,1,0,0,"2  I would also like to expr ess my d eepest condolence to the people of the Philippines and other countries who have been suffering from the r ecent typhoon.
", 0 , 0 , 0,2
2, I would also like to expr ess my d eepest condolence to the people of the Philippines and other countries who have been suffering from the r ecent typhoon.,1,0,0,"2  I would also like to expr ess my d eepest condolence to the people of the Philippines and other countries who have been suffering from the r ecent typhoon.
", 0 , 0 , 0,3
3, Mr. President:  A fair and effective framework with the participation of all countries needs to be adopted at COP 21 in 2015 to ensure emissions reduction at the global level .,0,0,1,"3  Mr. President:  A fair and effective framework with the participation of all countries needs to be adopted at COP 21 in 2015 to ensure emissions reduction at the global level .
", 1 , 0 , 2,1
3, Mr. President:  A fair and effective framework with the participation of all countries needs to be adopted at COP 21 in 2015 to ensure emissions reduction at the global level .,0,0,1,"3  Mr. President:  A fair and effective framework with the participation of all countries needs to be adopted at COP 21 in 2015 to ensure emissions reduction at the global level .
", 1 , 1 , 1,2
3, Mr. President:  A fair and effective framework with the participation of all countries needs to be adopted at COP 21 in 2015 to ensure emissions reduction at the global level .,0,0,1,"3  Mr. President:  A fair and effective framework with the participation of all countries needs to be adopted at COP 21 in 2015 to ensure emissions reduction at the global level .
", 1 , 2 , 2,3
4," In this regard, Japan firmly supports the establishment of a post-2020 framework. ",0,1,0,"4  In this regard, Japan firmly supports the establishment of a post-2020 framework. 
", 1 , 0 , 2,1
4," In this regard, Japan firmly supports the establishment of a post-2020 framework. ",0,1,0,"4  In this regard, Japan firmly supports the establishment of a post-2020 framework. 
", 1 , 1 , 1,2
4," In this regard, Japan firmly supports the establishment of a post-2020 framework. ",0,1,0,"4  In this regard, Japan firmly supports the establishment of a post-2020 framework. 
", 1 , 1 , 2,3
5,Such a framework must be based on “nationally -determined” commitment and an effective international transparency mechanism.,0,0,1,"5 Such a framework must be based on “nationally -determined” commitment and an effective international transparency mechanism.
", 1 , 0 , 2,1
5,Such a framework must be based on “nationally -determined” commitment and an effective international transparency mechanism.,0,0,1,"5 Such a framework must be based on “nationally -determined” commitment and an effective international transparency mechanism.
", 1 , 1 , 1,2
5,Such a framework must be based on “nationally -determined” commitment and an effective international transparency mechanism.,0,0,1,"5 Such a framework must be based on “nationally -determined” commitment and an effective international transparency mechanism.
", 1 , 2 , 2,3
6, I will devote myself toward the s uccessful outcome at this COP19 .,0,1,0,"6  I will devote myself toward the s uccessful outcome at this COP19 .
", 0 , 0 , 0,1
6, I will devote myself toward the s uccessful outcome at this COP19 .,0,1,0,"6  I will devote myself toward the s uccessful outcome at this COP19 .
", 0 , 0 , 0,2
6, I will devote myself toward the s uccessful outcome at this COP19 .,0,1,0,"6  I will devote myself toward the s uccessful outcome at this COP19 .
", 0 , 0 , 0,3
7, Mr. President:  The Great East Japan Earthquake and n uclear Power Plant’ s Accident in March 2011 caused drastic changes in the energy situations .,1,0,0,"7  Mr. President:  The Great East Japan Earthquake and n uclear Power Plant’ s Accident in March 2011 caused drastic changes in the energy situations .
", 1 , 0 , 1,1
7, Mr. President:  The Great East Japan Earthquake and n uclear Power Plant’ s Accident in March 2011 caused drastic changes in the energy situations .,1,0,0,"7  Mr. President:  The Great East Japan Earthquake and n uclear Power Plant’ s Accident in March 2011 caused drastic changes in the energy situations .
", 1 , 1 , 1,2
7, Mr. President:  The Great East Japan Earthquake and n uclear Power Plant’ s Accident in March 2011 caused drastic changes in the energy situations .,1,0,0,"7  Mr. President:  The Great East Japan Earthquake and n uclear Power Plant’ s Accident in March 2011 caused drastic changes in the energy situations .
", 1 , 1 , 0,3
8, Even under such circumstance both the public and private sectors of Japan have made utmost efforts to address climate change.,1,0,0,"8  Even under such circumstance both the public and private sectors of Japan have made utmost efforts to address climate change.
", 1 , 0 , 1,1
