unique_id,text,relevance_0_true,relevance_1_true,relevance_2_true,relevance_0_pred,relevance_1_pred,relevance_2_pred,consistency_relevance_0,consistency_relevance_1,consistency_relevance_2,correct_1,tp_1,tn_1,fp_1,fn_1,correct_2,tp_2,tn_2,fp_2,fn_2,correct_3,tp_3,tn_3,fp_3,fn_3
3, Mr. President:  A fair and effective framework with the participation of all countries needs to be adopted at COP 21 in 2015 to ensure emissions reduction at the global level .,0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
5,Such a framework must be based on “nationally -determined” commitment and an effective international transparency mechanism.,0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
11," As the next step, Japan has set a target to reduce emissions by 3.8 percent compared to the 2005 level in 2020.  ",1,0,0,0,1,0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
12, This target may appear to be less ambitious.,1,0,0,0,1,0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
13," However, this is an ambitious target .",1,0,0,0,0,1,1.0,1.0,1.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
14, It requires Japan to improve its energy efficiency by 20 percent when it is already at the world’s top level .,1,0,0,0,0,1,1.0,1.0,1.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
15, This is a target for the time being.,1,0,0,0,1,0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
47,It is for this reason that Namibia and Africa have prioritized adaptation as an approach to address climate change impacts.,1,0,0,0,1,0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
53,Global warming is a catastrophic problem that needs a global solution.,0,0,1,1,0,0,1.0,1.0,1.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
54,"Therefore, the multilateralism approach remains the fundamental approach in fighting climate change.",0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
58,"As a country committed to address the adverse effects of climate change, Namibia is ready to increase its mitigation efforts provided that sufficient financial and technical support is provided.",0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
60,This Platform should not be misinterpreted to fit the interests of some.,0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
62,"In our opinion, the new legally binding instrument should take into account the principles and provisions of the UNFCCC particularly the historical responsibility, right to development of developing countries equitable share of atmospheric space and respective capabilities.",0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
63,This new agreement should also ensure a balanced allocation of financial resources between adaptation and mitigation efforts for developing countries.,0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
65,"Namibia believes that in order to achieve a comprehensive new agreement under the Durban Platform, we need a science-based approach to disentangle and unfold conceptual and statistical aspects underpinning issues related to historical responsibility, equity and respective capability.",0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
72,"The Green Climate Fund, which we regarded as an ideal beginning to address the finance aspect for climate change remainsdry.",0,0,1,1,0,0,1.0,1.0,1.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
79,"The time to take meaningful and proactive steps against the adverse impacts of climate change is now, here in Warsaw.",0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
81,"It is for this reason, and most importantly, that Warsaw should therefore deliver to a World Decision that saves lives.",0,0,1,0,1,1,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0
82,Do we care about human lives? Namibia cares!,1,0,0,0,0,1,1.0,1.0,1.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
89,"Mr. President, I want to strongly reaffirm to this gathering that the President of the Republic of Sierra Leone considers the issue of Climate Change as a priority.",1,0,0,0,1,0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
93,The preparation of our third National Communication with support from UNEP will soon commence.,0,1,0,1,0,0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
94,"Mr. President, to show the commitment of Sierra Leone with regards Climate Change, our President Dr. Ernest Bai Koroma on the 12 of August this year, launched the inclusive green growth in the Government next five years development plan â€œTHE AGENDA FOR PROSPERITY"".",1,0,0,0,1,0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
96,"In light of the above, I want to inform this gathering that the shift to renewable energy is seriously gaining prominence in Sierra Leone with the installation of over 12'000 solar street lights, the commencement of the second face of the Bumbuna Hydro Project, the implementation of the ADAX Bio-energy CDM Project which again will go a long way in reducing Sierra Leone's overall emissions.",1,0,0,1,1,0,1.0,1.0,1.0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0
98,"Mr. President, Sierra Leone submits that adaptation must assume a prominent place on the climate agenda with a balance view to necessary mitigation actions, if we are to overcome poverty and achieve the Millennium Development Goals.",0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
99,"To this end, Sierra Leone joins the LDCs and African Groups to call for concrete commitments in Warsaw towards fulfilling the promised of one hundred billion united states dollars per year by 2020 as committed by developed country Parties and underscore the need for a clear climate finance roadmap to scale up financial resources in order to avoid the funding gap from 2013 to 2015.",0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
100,"In view of the above, my delegation joins the LDCs to ask for clarity in terms of financial sources and pledges to the Green Climate Fund.",1,0,0,0,1,0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
115,Climate change has been bringing catastrophes to our world today and even more worsein a near future.,1,0,0,0,0,1,1.0,1.0,1.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
116,Our socio economy development and ecosystems have beenincreasingly affected by the impacts of climate change.,1,0,0,0,0,1,1.0,1.0,1.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
117,"Floods, droughts, landslides andextreme destructive wind events have been increased over the time which leads foodinsecurity, water shortage, destruction of infrastructure, human displacement as well aslosses of human lives in many vulnerable countries.",1,0,0,0,0,1,1.0,1.0,1.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
118,"In addition, Scientists havepredicted that some of small island countries will be under sea water in the next fewdecades due to sea level raise.",1,0,0,0,0,1,1.0,1.0,1.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
125,"We urge, all parties here in Warsaw to take decisions on mitigation efforts, including market and non market mechanisms which will facilitate the parties to reduce their respective green house gas emissions, especially the non Kyoto ProtocolAnnex I countries.",0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
126,"We believe that, Nationally Appropriate Mitigation Actions (NAMAs) will fully operationalized with strong supports provided by the Annex I countries under the non market mechanism one.",0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
129,"We think that by meeting this target, and implementing market andnon market mechanism, we can meet our global goal of 2 degree target.",1,0,0,0,1,0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
130,"We must also take decisions on finance, technology and capacity building to supportadaptation and mitigation measures.",0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
131,"We urge parties to take decisions on simplificationof mechanism and procedures for both CDM and accessing climate finance bydeveloping country parties with recognizing of the country ownership, direct access andtransparency principles.",0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
132,"It is also important to identify source of long term finance thatcould be from public finance of Annex I country parties, as well as seeking clarity of thestatus of fast start financing.",0,0,1,1,0,0,1.0,1.0,1.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1
133,"In the same way, we kindly request the Annex I countryparties to provide a sustainability of financial support for formulation and implementationof National Adaptation Plans (NAPs) as well as Nationally Appropriate Mitigation Actions(NAMAs) by developing country parties, with special attention to the principle ofsustainability, transparency, flexibility as well as country ownership and direct accessmodality.",0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
134,"Lastly, Mr. President,Regarding 2015 agreement, we must start our negotiation in a comprehensive mannerhere in Warsaw in order to achieve it in a timely manner.",0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
135,We should apply principlecommon but differentiated responsibility and respective capabilities*the new climateregime. ,0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
