unique_id,text,relevance_0_true,relevance_1_true,relevance_2_true,relevance_0_pred,relevance_1_pred,relevance_2_pred,consistency_relevance_0,consistency_relevance_1,consistency_relevance_2,correct_1,tp_1,tn_1,fp_1,fn_1,correct_2,tp_2,tn_2,fp_2,fn_2,correct_3,tp_3,tn_3,fp_3,fn_3
3, Mr. President:  A fair and effective framework with the participation of all countries needs to be adopted at COP 21 in 2015 to ensure emissions reduction at the global level .,0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
5,Such a framework must be based on “nationally -determined” commitment and an effective international transparency mechanism.,0,0,1,0,1,0,1.0,1.0,1.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1
11," As the next step, Japan has set a target to reduce emissions by 3.8 percent compared to the 2005 level in 2020.  ",1,0,0,0,1,0,1.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
12, This target may appear to be less ambitious.,1,0,0,0,1,0,0.8,0.8,1.0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
13," However, this is an ambitious target .",1,0,0,0,0,1,1.0,1.0,1.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
14, It requires Japan to improve its energy efficiency by 20 percent when it is already at the world’s top level .,1,0,0,0,0,1,1.0,1.0,1.0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0
20, Japan will establish a low carbon society through various policy tools.,0,1,0,0,1,0,2.0,1.6,1.6,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0
28," In this context, Japan’s public and private sectors plan to invest a total of 110 billion US dollars domestically over the next five years.",0,1,0,1,0,0,0.8,0.8,1.0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
32," We will provide support to developing countries totaling 1.6 trillion yen, about 16 billion US dollars, during the 3-year period from 201 3 to 201 5.",0,1,0,0,1,0,0.6,0.6,1.0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0
35," Through the Olympic Games , we will demonstrate to the world a society with low carbon foot print, a society in harmony with nature and a society based on sound material cycle.",0,1,0,0,1,0,1.0,0.6,0.6,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0
