unique_id,text,PRINCIPLE_x,llm_query,PRINCIPLE_y,iteration
3, Mr. President:  A fair and effective framework with the participation of all countries needs to be adopted at COP 21 in 2015 to ensure emissions reduction at the global level .,utilitarian,"3  Mr. President:  A fair and effective framework with the participation of all countries needs to be adopted at COP 21 in 2015 to ensure emissions reduction at the global level .
",egalitarian,1
5,Such a framework must be based on “nationally -determined” commitment and an effective international transparency mechanism.,egalitarian,"5 Such a framework must be based on “nationally -determined” commitment and an effective international transparency mechanism.
",general normative statement,1
44,"It should not only enable us to discuss global environmental challenges our world faces, but more importantly, it should pave way to key decisions that would put climate change action at the fore-front of all developmental processes and giving hope to our future generations.",utilitarian,"44 It should not only enable us to discuss global environmental challenges our world faces, but more importantly, it should pave way to key decisions that would put climate change action at the fore-front of all developmental processes and giving hope to our future generations.
",utilitarian,1
53,Global warming is a catastrophic problem that needs a global solution.,utilitarian,"53 Global warming is a catastrophic problem that needs a global solution.
",utilitarian,1
54,"Therefore, the multilateralism approach remains the fundamental approach in fighting climate change.",general normative statement,"54 Therefore, the multilateralism approach remains the fundamental approach in fighting climate change.
",general normative statement,1
55,"In this view, we urge developed country parties to respect and adhere to the principles and provisions of the UNFCCC.",utilitarian,"55 In this view, we urge developed country parties to respect and adhere to the principles and provisions of the UNFCCC.
",egalitarian,1
56,"We also call on Annex-1 Parties to the Convention to avoid procrastination and urgently implement the commitments made so far, in line scientific findings of the IPCC.",utilitarian,"56 We also call on Annex-1 Parties to the Convention to avoid procrastination and urgently implement the commitments made so far, in line scientific findings of the IPCC.
",general normative statement,1
58,"As a country committed to address the adverse effects of climate change, Namibia is ready to increase its mitigation efforts provided that sufficient financial and technical support is provided.",sufficientarian,"58 As a country committed to address the adverse effects of climate change, Namibia is ready to increase its mitigation efforts provided that sufficient financial and technical support is provided.
",prioritarian,1
60,This Platform should not be misinterpreted to fit the interests of some.,general normative statement,"60 This Platform should not be misinterpreted to fit the interests of some.
",general normative statement,1
62,"In our opinion, the new legally binding instrument should take into account the principles and provisions of the UNFCCC particularly the historical responsibility, right to development of developing countries equitable share of atmospheric space and respective capabilities.",egalitarian,"62 In our opinion, the new legally binding instrument should take into account the principles and provisions of the UNFCCC particularly the historical responsibility, right to development of developing countries equitable share of atmospheric space and respective capabilities.
",egalitarian,1
63,This new agreement should also ensure a balanced allocation of financial resources between adaptation and mitigation efforts for developing countries.,prioritarian,"63 This new agreement should also ensure a balanced allocation of financial resources between adaptation and mitigation efforts for developing countries.
",prioritarian,1
65,"Namibia believes that in order to achieve a comprehensive new agreement under the Durban Platform, we need a science-based approach to disentangle and unfold conceptual and statistical aspects underpinning issues related to historical responsibility, equity and respective capability.",egalitarian,"65 Namibia believes that in order to achieve a comprehensive new agreement under the Durban Platform, we need a science-based approach to disentangle and unfold conceptual and statistical aspects underpinning issues related to historical responsibility, equity and respective capability.
",egalitarian,1
70,"Therefore, it is the hope of the citizens of the world that 19 years down the line, we should have better addressed the challenges and well equipped ourselves to better deal with climate change.",utilitarian,"70 Therefore, it is the hope of the citizens of the world that 19 years down the line, we should have better addressed the challenges and well equipped ourselves to better deal with climate change.
",utilitarian,1
72,"The Green Climate Fund, which we regarded as an ideal beginning to address the finance aspect for climate change remainsdry.",prioritarian,"72 The Green Climate Fund, which we regarded as an ideal beginning to address the finance aspect for climate change remainsdry.
",general normative statement,1
78,"The cost of inaction to, adequately, address climate change will haunt us all.",general normative statement,"78 The cost of inaction to, adequately, address climate change will haunt us all.
",utilitarian,1
79,"The time to take meaningful and proactive steps against the adverse impacts of climate change is now, here in Warsaw.",general normative statement,"79 The time to take meaningful and proactive steps against the adverse impacts of climate change is now, here in Warsaw.
",utilitarian,1
80,This is a defining moment of whether or not we can save the lives of the future generations on this Planet.,utilitarian,"80 This is a defining moment of whether or not we can save the lives of the future generations on this Planet.
",utilitarian,1
81,"It is for this reason, and most importantly, that Warsaw should therefore deliver to a World Decision that saves lives.",utilitarian,"81 It is for this reason, and most importantly, that Warsaw should therefore deliver to a World Decision that saves lives.
",utilitarian,1
98,"Mr. President, Sierra Leone submits that adaptation must assume a prominent place on the climate agenda with a balance view to necessary mitigation actions, if we are to overcome poverty and achieve the Millennium Development Goals.",sufficientarian,"98 Mr. President, Sierra Leone submits that adaptation must assume a prominent place on the climate agenda with a balance view to necessary mitigation actions, if we are to overcome poverty and achieve the Millennium Development Goals.
",prioritarian,1
99,"To this end, Sierra Leone joins the LDCs and African Groups to call for concrete commitments in Warsaw towards fulfilling the promised of one hundred billion united states dollars per year by 2020 as committed by developed country Parties and underscore the need for a clear climate finance roadmap to scale up financial resources in order to avoid the funding gap from 2013 to 2015.",prioritarian,"99 To this end, Sierra Leone joins the LDCs and African Groups to call for concrete commitments in Warsaw towards fulfilling the promised of one hundred billion united states dollars per year by 2020 as committed by developed country Parties and underscore the need for a clear climate finance roadmap to scale up financial resources in order to avoid the funding gap from 2013 to 2015.
",prioritarian,1
107,Typhoon Haiyan has once again gravely reminded us of the looming disaster and the urgent imperative to put aside the endless rhetoric and act NOW.,utilitarian,"107 Typhoon Haiyan has once again gravely reminded us of the looming disaster and the urgent imperative to put aside the endless rhetoric and act NOW.
",utilitarian,1
125,"We urge, all parties here in Warsaw to take decisions on mitigation efforts, including market and non market mechanisms which will facilitate the parties to reduce their respective green house gas emissions, especially the non Kyoto ProtocolAnnex I countries.",prioritarian,"125 We urge, all parties here in Warsaw to take decisions on mitigation efforts, including market and non market mechanisms which will facilitate the parties to reduce their respective green house gas emissions, especially the non Kyoto ProtocolAnnex I countries.
",egalitarian,1
126,"We believe that, Nationally Appropriate Mitigation Actions (NAMAs) will fully operationalized with strong supports provided by the Annex I countries under the non market mechanism one.",prioritarian,"126 We believe that, Nationally Appropriate Mitigation Actions (NAMAs) will fully operationalized with strong supports provided by the Annex I countries under the non market mechanism one.
",egalitarian,1
130,"We must also take decisions on finance, technology and capacity building to supportadaptation and mitigation measures.",general normative statement,"130 We must also take decisions on finance, technology and capacity building to supportadaptation and mitigation measures.
",prioritarian,1
131,"We urge parties to take decisions on simplificationof mechanism and procedures for both CDM and accessing climate finance bydeveloping country parties with recognizing of the country ownership, direct access andtransparency principles.",prioritarian,"131 We urge parties to take decisions on simplificationof mechanism and procedures for both CDM and accessing climate finance bydeveloping country parties with recognizing of the country ownership, direct access andtransparency principles.
",prioritarian,1
132,"It is also important to identify source of long term finance thatcould be from public finance of Annex I country parties, as well as seeking clarity of thestatus of fast start financing.",general normative statement,"132 It is also important to identify source of long term finance thatcould be from public finance of Annex I country parties, as well as seeking clarity of thestatus of fast start financing.
",prioritarian,1
133,"In the same way, we kindly request the Annex I countryparties to provide a sustainability of financial support for formulation and implementationof National Adaptation Plans (NAPs) as well as Nationally Appropriate Mitigation Actions(NAMAs) by developing country parties, with special attention to the principle ofsustainability, transparency, flexibility as well as country ownership and direct accessmodality.",prioritarian,"133 In the same way, we kindly request the Annex I countryparties to provide a sustainability of financial support for formulation and implementationof National Adaptation Plans (NAPs) as well as Nationally Appropriate Mitigation Actions(NAMAs) by developing country parties, with special attention to the principle ofsustainability, transparency, flexibility as well as country ownership and direct accessmodality.
",prioritarian,1
134,"Lastly, Mr. President,Regarding 2015 agreement, we must start our negotiation in a comprehensive mannerhere in Warsaw in order to achieve it in a timely manner.",general normative statement,"134 Lastly, Mr. President,Regarding 2015 agreement, we must start our negotiation in a comprehensive mannerhere in Warsaw in order to achieve it in a timely manner.
",general normative statement,1
135,We should apply principlecommon but differentiated responsibility and respective capabilities*the new climateregime. ,egalitarian,"135 We should apply principlecommon but differentiated responsibility and respective capabilities*the new climateregime. 
",egalitarian,1
136,"In this regard, developed country parties should take the lead, including finance,technology and capacity building for developing countries to address adaptationmeasures.",prioritarian,"136 In this regard, developed country parties should take the lead, including finance,technology and capacity building for developing countries to address adaptationmeasures.
",prioritarian,1
